Rk,Gcar,Gtm,Date,Tm,HmAw,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
12,64,68,Jun 19,NYM,,ATL,L0-6,GS-6,L(3-4),4,6.0,5,3,3,1,6,1,1,2.96,25,98,63,16,8,6,11,6,3,0,55,,,0,0,0,22,1,0,0,0,0,0,.84,-0.074,-0.15,,,1t start tie,6t 3 out d3
13,65,73,Jun 25,NYM,@,ATL,W1-0,GS-8,,5,8.0,7,0,0,1,6,0,0,2.67,29,100,64,23,6,13,9,6,1,0,73,,,1,0,0,28,0,0,0,3,0,0,1.40,0.542,3.88,,,1b start tie,8b 3 out tie
14,66,79,Jul 1,NYM,,CHC,W10-2,GS-6,W(4-4),5,5.0,3,1,1,1,7,1,0,2.62,19,85,52,17,10,6,5,2,1,0,63,,,1,0,0,18,0,0,0,0,0,0,.53,0.137,0.40,,,1t start tie,6t 12- 0 out a9
15,67,84,Jul 6,NYM,,MIA,W4-2,GS-7,W(5-4),4,7.0,6,2,2,2,7,2,0,2.61,28,117,79,20,8,9,10,4,0,0,62,,,0,0,0,26,1,0,0,1,0,0,1.18,0.215,1.33,,,1t start tie,7t 3 out a2
16,68,91,Jul 17,NYM,@,PHI,W5-0,SHO,W(6-4),10,9.0,1,0,0,1,7,0,0,2.38,28,105,67,14,11,11,9,3,1,0,91,,,0,0,0,27,0,0,0,1,0,0,.63,0.398,4.42,,,1b start tie,9b 3 out a5
17,69,96,Jul 23,NYM,@,MIA,L2-7,GS-4,L(6-5),5,3.667,10,5,5,1,5,1,0,2.73,22,94,61,18,8,7,9,8,0,0,25,,,0,0,0,21,2,0,0,0,0,0,1.03,-0.333,-2.57,,,1b start tie,4b 12- 2 out d2
18,70,101,Jul 28,NYM,,COL,L1-2,GS-7,,4,7.0,5,0,0,1,6,0,0,2.56,27,97,66,11,12,7,13,4,3,0,72,,,0,0,0,26,0,0,0,0,0,0,1.12,0.454,3.33,,,1t start tie,7t 3 out a1
19,71,106,Aug 2,NYM,,NYY,W7-1,GS-7,W(7-5),4,7.0,4,0,0,1,8,0,1,2.41,26,103,69,19,12,7,9,1,1,0,76,,,0,0,0,24,1,0,0,1,0,0,.97,0.353,3.33,,,1t start tie,7t 3 out a3
20,72,111,Aug 7,NYM,@,DET,W3-1,GS-7,,4,6.667,7,1,1,2,3,0,0,2.35,27,103,73,16,9,11,11,7,1,0,57,,,0,0,0,25,0,0,0,3,0,1,1.32,0.311,2.78,,,1b start tie,7b 123 2 out a1
21,73,116,Aug 13,NYM,,SDP,W3-2,GS-7,,5,7.0,3,1,1,1,9,1,0,2.29,23,93,63,16,18,8,5,2,2,0,75,,,0,0,0,22,0,0,0,2,0,0,.98,0.245,2.33,,,1t start tie,7t 3 out tie
22,74,121,Aug 18,NYM,@,SFG,L7-10,GS-5,L(7-6),4,5.0,13,8,8,1,5,1,0,2.73,27,92,70,15,9,9,12,10,1,0,13,,,0,0,0,26,2,1,0,1,0,0,1.19,-0.576,-5.62,,,1b start tie,5b 3 out d4
23,75,126,Aug 24,NYM,@,STL,L1-8,GS-5,L(7-7),5,4.667,12,5,5,2,3,3,0,2.96,25,94,60,12,9,6,14,7,1,0,21,,,0,1,0,23,2,0,0,0,0,0,.76,-0.269,-3.00,,,1b start tie,5b 12- 2 out d4
24,76,134,Sep 1,NYM,,MIA,L4-6,GS-5,L(7-8),7,5.0,6,3,3,4,6,0,0,3.04,25,102,59,17,12,7,8,5,0,0,45,,,2,0,0,21,2,0,0,0,0,0,1.09,-0.103,-0.62,,,1t start tie,5t 3 out d3
